DOI,"<item crawler=""iParadigms"">"
10.16995/cg.79,http://www.comicsgrid.com/articles/10.16995/cg.79/galley/99/download/
10.16995/orbit.195,http://www.pynchon.net/articles/10.16995/orbit.195/galley/250/download/
10.16995/ane.238,http://www.asianetworkexchange.org/articles/10.16995/ane.238/galley/331/download/
10.16995/ane.168,http://www.asianetworkexchange.org/articles/10.16995/ane.168/galley/339/download/
10.16995/orbit.192,http://www.pynchon.net/articles/10.16995/orbit.192/galley/253/download/
10.16995/ane.150,http://www.asianetworkexchange.org/articles/10.16995/ane.150/galley/329/download/
10.16995/ane.165,http://www.asianetworkexchange.org/articles/10.16995/ane.165/galley/335/download/
10.16995/ane.166,http://www.asianetworkexchange.org/articles/10.16995/ane.166/galley/337/download/
10.16995/ane.164,http://www.asianetworkexchange.org/articles/10.16995/ane.164/galley/333/download/
10.16995/olh.82,http://olh.openlibhums.org/articles/10.16995/olh.82/galley/56/download/
10.16995/orbit.131,http://www.pynchon.net/articles/10.16995/orbit.131/galley/255/download/
10.16995/biip.10,http://poetry.openlibhums.org/articles/10.16995/biip.10/galley/26/download/
10.16995/cg.86,http://www.comicsgrid.com/articles/10.16995/cg.86/galley/104/download/
10.16995/cg.75,http://www.comicsgrid.com/articles/10.16995/cg.75/galley/101/download/
10.16995/cg.92,http://www.comicsgrid.com/articles/10.16995/cg.92/galley/107/download/
10.16995/orbit.204,http://www.pynchon.net/articles/10.16995/orbit.204/galley/258/download/
10.16995/cg.85,http://www.comicsgrid.com/articles/10.16995/cg.85/galley/109/download/
10.16995/olh.65,http://olh.openlibhums.org/articles/10.16995/olh.65/galley/58/download/
10.16995/olh.95,http://olh.openlibhums.org/articles/10.16995/olh.95/galley/60/download/
10.16995/olh.92,http://olh.openlibhums.org/articles/10.16995/olh.92/galley/61/download/
10.16995/ntn.768,http://19.bbk.ac.uk/articles/10.16995/ntn.768/galley/1231/download/
10.16995/ms.4,http://marvell.openlibhums.org//articles/10.16995/ms.4/galley/3/download/
10.16995/ntn.767,http://19.bbk.ac.uk/articles/10.16995/ntn.767/galley/1233/download/
10.16995/ntn.785,http://19.bbk.ac.uk/articles/10.16995/ntn.785/galley/1224/download/
10.16995/ntn.774,http://19.bbk.ac.uk/articles/10.16995/ntn.774/galley/1225/download/
10.16995/ntn.764,http://19.bbk.ac.uk/articles/10.16995/ntn.764/galley/1227/download/
10.16995/ntn.766,http://19.bbk.ac.uk/articles/10.16995/ntn.766/galley/1228/download/
10.16995/ntn.771,http://19.bbk.ac.uk/articles/10.16995/ntn.771/galley/1234/download/
10.16995/ms.5,http://marvell.openlibhums.org//articles/10.16995/ms.5/galley/4/download/
10.16995/ntn.765,http://19.bbk.ac.uk/articles/10.16995/ntn.765/galley/1232/download/
10.16995/ntn.769,http://19.bbk.ac.uk/articles/10.16995/ntn.769/galley/1230/download/
10.16995/ntn.784,http://19.bbk.ac.uk/articles/10.16995/ntn.784/galley/1229/download/
10.16995/ms.2,http://marvell.openlibhums.org//articles/10.16995/ms.2/galley/5/download/
10.16995/ntn.772,http://19.bbk.ac.uk/articles/10.16995/ntn.772/galley/1226/download/
10.16995/ms.3,http://marvell.openlibhums.org//articles/10.16995/ms.3/galley/2/download/
10.16995/ms.1,http://marvell.openlibhums.org//articles/10.16995/ms.1/galley/1/download/
10.16995/sim.221,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.221/galley/346/download/
10.16995/sim.233,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.233/galley/344/download/
10.16995/biip.31,http://poetry.openlibhums.org/articles/10.16995/biip.31/galley/27/download/
10.16995/cg.98,http://www.comicsgrid.com/articles/10.16995/cg.98/galley/111/download/
10.16995/sim.217,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.217/galley/338/download/
10.16995/sim.230,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.230/galley/334/download/
10.16995/sim.227,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.227/galley/328/download/
10.16995/sim.229,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.229/galley/336/download/
10.16995/sim.231,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.231/galley/342/download/
10.16995/sim.236,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.236/galley/322/download/
10.16995/sim.226,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.226/galley/326/download/
10.16995/sim.228,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.228/galley/340/download/
10.16995/sim.224,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.224/galley/332/download/
10.16995/sim.225,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.225/galley/330/download/
10.16995/cg.77,http://www.comicsgrid.com/articles/10.16995/cg.77/galley/113/download/
10.16995/sim.235,http://www.mamsie.bbk.ac.uk/articles/10.16995/sim.235/galley/324/download/
10.16995/biip.37,http://poetry.openlibhums.org/articles/10.16995/biip.37/galley/29/download/
10.16995/biip.11,http://poetry.openlibhums.org/articles/10.16995/biip.11/galley/33/download/
10.16995/biip.12,http://poetry.openlibhums.org/articles/10.16995/biip.12/galley/35/download/
10.16995/orbit.202,http://www.pynchon.net/articles/10.16995/orbit.202/galley/259/download/
10.16995/biip.9,http://poetry.openlibhums.org/articles/10.16995/biip.9/galley/39/download/
10.16995/biip.35,http://poetry.openlibhums.org/articles/10.16995/biip.35/galley/31/download/
10.16995/biip.34,http://poetry.openlibhums.org/articles/10.16995/biip.34/galley/37/download/
10.16995/c21.10,http://c21.openlibhums.org/articles/10.16995/c21.10/galley/17/download/
10.16995/c21.13,http://c21.openlibhums.org/articles/10.16995/c21.13/galley/23/download/
10.16995/c21.14,http://c21.openlibhums.org/articles/10.16995/c21.14/galley/25/download/
10.16995/c21.12,http://c21.openlibhums.org/articles/10.16995/c21.12/galley/21/download/
10.16995/c21.15,http://c21.openlibhums.org/articles/10.16995/c21.15/galley/27/download/
10.16995/c21.16,http://c21.openlibhums.org/articles/10.16995/c21.16/galley/29/download/
10.16995/c21.11,http://c21.openlibhums.org/articles/10.16995/c21.11/galley/19/download/
10.16995/olh.67,http://olh.openlibhums.org/articles/10.16995/olh.67/galley/69/download/
10.16995/olh.80,http://olh.openlibhums.org/articles/10.16995/olh.80/galley/67/download/
10.16995/olh.158,http://olh.openlibhums.org/articles/10.16995/olh.158/galley/65/download/
10.16995/olh.153,http://olh.openlibhums.org/articles/10.16995/olh.153/galley/73/download/
10.16995/orbit.200,http://www.pynchon.net/articles/10.16995/orbit.200/galley/263/download/
10.16995/olh.83,http://olh.openlibhums.org/articles/10.16995/olh.83/galley/63/download/
10.16995/olh.156,http://olh.openlibhums.org/articles/10.16995/olh.156/galley/71/download/
10.16995/c21.22,http://c21.openlibhums.org/articles/10.16995/c21.22/galley/42/download/
10.16995/c21.24,http://c21.openlibhums.org/articles/10.16995/c21.24/galley/44/download/
10.16995/olh.81,http://olh.openlibhums.org/articles/10.16995/olh.81/galley/75/download/
10.16995/c21.19,http://c21.openlibhums.org/articles/10.16995/c21.19/galley/39/download/
10.16995/c21.20,http://c21.openlibhums.org/articles/10.16995/c21.20/galley/40/download/
10.16995/c21.23,http://c21.openlibhums.org/articles/10.16995/c21.23/galley/43/download/
10.16995/c21.25,http://c21.openlibhums.org/articles/10.16995/c21.25/galley/45/download/
10.16995/c21.21,http://c21.openlibhums.org/articles/10.16995/c21.21/galley/41/download/
10.16995/cg.95,http://www.comicsgrid.com/articles/10.16995/cg.95/galley/117/download/
10.16995/cg.94,http://www.comicsgrid.com/articles/10.16995/cg.94/galley/124/download/
10.16995/cg.105,http://www.comicsgrid.com/articles/10.16995/cg.105/galley/121/download/
10.16995/cg.83,http://www.comicsgrid.com/articles/10.16995/cg.83/galley/119/download/
10.16995/ane.244,http://www.asianetworkexchange.org/articles/10.16995/ane.244/galley/341/download/
10.16995/olh.89,http://olh.openlibhums.org/articles/10.16995/olh.89/galley/77/download/
10.16995/ane.236,http://www.asianetworkexchange.org/articles/10.16995/ane.236/galley/346/download/
10.16995/ane.157,http://www.asianetworkexchange.org/articles/10.16995/ane.157/galley/351/download/
10.16995/ane.152,http://www.asianetworkexchange.org/articles/10.16995/ane.152/galley/349/download/
10.16995/ane.131,http://www.asianetworkexchange.org/articles/10.16995/ane.131/galley/344/download/
10.16995/ane.240,http://www.asianetworkexchange.org/articles/10.16995/ane.240/galley/353/download/
10.16995/olh.198,http://olh.openlibhums.org/articles/10.16995/olh.198/galley/79/download/
